barrio,sede
Guayabal,Biblioteca Manuel Mejia Vallejo
Belén,Cerro Nutibara (Terraza pueblito paisa) Reubicado
Belén,Pista de Bicicross Antonio Roldán Betancur
Belén,Tiro Con Arco Unidad Deportiva Andrés Escobar
Belén,Bolera Unidad Deportiva Andrés Escobar
Belén,Desarrollo Integral Belén Zafra
Belén,UPSS Belén
Belén,CVS Belen (CEDEZO Belén)
Belén,Parque Biblioteca de Belén / Centro de Salud Belén Rincón
Belén,Parque Belén
Belén,Mascerca Belén
Belén,Desarrollo Integral Belén Rincón
Belén,Parque Principal Belén Los Alpes
Belén,Cancha de Fútbol Arenilla Buena Vista
Belén,Parque Quimbaya
Belén,Cancha Las Violetas
Belén,Cancha polideportiva Belén las playas
Belén,Cancha Polideportiva Belen Los Alpes
Belén,Parque Infantil Al Frente Entrada 4 Udem
Belén,Parque La Mota
Belén,Parque De Belen La Nubia
Belén,Cancha arenilla Altavista
Belén,Pueblito Paisa
Belén,Parque Malibu
Belén,Parque la Chinca – San Carlos
Belén,Parque San José de la Montaña
San Sebastián de Palmitas,Casa de Gobierno San Sebastián de Palmitas
San Sebastián de Palmitas,Centralidad Vereda La Suiza
San Sebastián de Palmitas,Parque San Sebastián de Palmitas
San Sebastián de Palmitas,Placa Polideportiva Vereda La Aldea
San Cristóbal,Casa de Gobierno San Cristóbal
San Cristóbal,Exteriores Ludoteca Casa San Martín
San Cristóbal,UPSS Nuevo Occidente
San Cristóbal,CVS San Cristóbal
San Cristóbal,UPSS San Cristóbal
San Cristóbal,Centro de Servicios Nuevo Occidente (Casa Lusitania)
San Cristóbal,Centro de Salud La Loma
San Cristóbal,Cancha Jose Betancur
San Cristóbal,Plazoleta Estación Metrocable La Aurora (exterior)
San Cristóbal,Unidad Deportiva San Cristóbal
San Cristóbal,Ruta De La Memoria – Plazoleta Villa Suramericana (Frente La Aurora)
San Cristóbal,Parque Principal San Cristóbal
San Cristóbal,Placa la Ilusión
Altavista,Casa de Gobierno Altavista
Altavista,Parque Principal de Altavista
Altavista,Cancha de Arena El Manzanillo
Altavista,La Esperanza
Altavista,Placa PoliDeportiva Los Tanques
Altavista,Placa de Arenilla Aguas Frías
Altavista,Cancha Aguas Frías Parte Alta
San Antonio de Prado,Casa de Gobierno San Antonio de Prado
San Antonio de Prado,CVS San Antonio de Prado (cedezo San Antonio de Prado)
San Antonio de Prado,Biblioteca José Horacio Betancur Parque principal San Antonio de Prado
San Antonio de Prado,Corregiduría El Limonar
San Antonio de Prado,Cancha Sintética Horizontes
San Antonio de Prado,Zona Verde El Limonar No. 2
San Antonio de Prado,Placa Polideportiva Montañita
San Antonio de Prado,Placa polideportiva potrerito
Santa Elena,Casa de Gobierno Santa Elena
Santa Elena,Parque Santa Elena
Santa Elena,Plazoleta Estación Metrocable Parque Arví (exterior)
Santa Elena,Piedras Blancas
Santa Elena,Parque Arví – Centro Ambiental y Cultural Parque Arví
Santa Elena,@Medellín – Sapiencia Centralidad Mazo
Santa Elena,Bello Oriente (Sector Palomar)
Santa Elena,El Tambo
Santa Elena,Fuerte de Carabineros
